ligand_name;smiles;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand0-0;[CH3][CH2][N]1[C][N]([CH2][c]2[c]3[cH][cH][cH][cH][c]3[cH][c]3[cH][cH][cH][cH][c]23)[CH]=[CH]1;4.597990000000004;1;3;0;3
ligand1-0;[Cl];0.6895;0;0;0;0
ligand2-0;[CH]1[CH][CH2][CH2][CH2][CH][CH2][CH2]1;2.563370000000001;1;0;1;0
ligand3-0;[Br];0.8456;0;0;0;0
ligand4-0;[C]=[O];-0.3971;0;0;0;0
ligand5-0;[CH3][N]([CH3])[CH2][CH2]/[N]=[CH]/[c]1[cH][cH][cH][cH][n]1;1.0621;0;1;0;4
ligand6-0;[O]=[C]([CH][C](=[O])[C]([F])([F])[F])[C]([F])([F])[F];1.4534899999999997;0;0;0;2
ligand7-0;[F][C]([F])([F])[c]1[cH][c]([C]([F])([F])[F])[n][c]([c]2[cH][cH][cH][cH][n]2)[n]1;3.624600000000001;0;2;0;1
ligand8-0;[O][S]([O])([O])[C]([F])([F])[F];1.3473;0;0;0;0
ligand9-0;[CH3]/[C]1=[N]\[O][CH2]/[C]([CH3])=[N]/[O][CH2]/[C]([CH3])=[N]/[O][CH2]/[C]([CH3])=[N]/[O][CH2]1;1.5699999999999998;1;0;0;0
ligand10-0;[CH3][CH2][O]/[CH]=[C](\[C]#[N])[C](=[NH])/[CH]=[C](/[CH3])[O];1.7844499999999999;0;0;0;4
ligand11-0;[CH3][C](=[O])[CH][C]([CH3])=[O];0.3686900000000001;0;0;0;2
ligand12-0;[CH3][C]([N][NH][C]([NH2])=[S])[c]1[cH][cH][cH][cH][cH]1;0.9391900000000002;0;1;0;3
ligand13-0;[CH3][c]1[cH][cH][c]([CH]([CH3])[CH3])[cH][cH]1;3.118420000000002;0;1;0;1
ligand14-0;[CH3][C]1=[C]([O])[C]([O])=[CH][CH][N]1[CH3];1.0699899999999998;1;0;0;0
ligand15-0;[CH3][C]([CH3])([CH3])[P]([CH2][CH2][N]([O])[CH2][CH2][P]([C]([CH3])([CH3])[CH3])[C]([CH3])([CH3])[CH3])[C]([CH3])([CH3])[CH3];6.791700000000008;0;0;0;6
ligand16-0;[N];-0.4806;0;0;0;0
ligand17-0;[CH3][c]1[cH][c]([CH3])[n]([BH]([n]2[n][c]([CH3])[cH][c]2[CH3])[n]2[n][c]([CH3])[cH][c]2[CH3])[n]1;1.78852;0;3;0;3
ligand18-0;[CH3];0.45028999999999997;0;0;0;0
ligand19-0;[CH3]/[C]=[C]\[CH3];1.18878;0;0;0;0
ligand20-0;[S]=[C]1[N]=[CH][N]=[C]2[N][CH]=[N][C]12;-0.06751000000000007;2;0;0;0
ligand21-0;[NH2][CH2][CH2][NH2];-1.0962;0;0;0;1
ligand22-0;[CH3][C](=[O])[NH][O];-0.5320000000000003;0;0;0;0
ligand23-0;[O][c]1[cH][cH][c]([Br])[cH][c]1/[CH]=[N]/[N][C](=[O])[c]1[cH][cH][cH][c]([N+](=[O])[O-])[cH]1;3.2798000000000025;0;2;0;4
ligand24-0;[O];-0.1188;0;0;0;0
ligand25-0;[cH]1[cH][cH][c]([CH2][N]([CH2][c]2[cH][cH][cH][cH][n]2)[CH2][c]2[cH][cH][cH][cH][n]2)[cH][cH]1;3.679000000000003;0;3;0;6
ligand26-0;[cH]1[cH][cH][c]([CH2][N][c]2[cH][cH][cH][cH][cH]2)[cH][cH]1;3.122700000000002;0;2;0;3
ligand27-0;[CH3][CH]([CH3])[CH2][S][CH2][CH2][NH][CH2][CH2][S][CH2][CH]([CH3])[CH3];3.354400000000002;0;0;0;10
ligand28-0;[O]=[C](/[N]=[c]1/[nH][cH][cH][s]1)[c]1[cH][cH][cH][c]([C](=[O])/[N]=[c]2/[nH][cH][cH][s]2)[n]1;1.343;0;3;0;2
