name;stable_occurrence
ligand0-0;GAFWUF-subgraph-0
ligand1-0;FINYAD-subgraph-1
ligand2-0;FOZQES-subgraph-2
ligand3-0;DOYGOQ-subgraph-0
ligand4-0;QOYTAA-subgraph-0
ligand5-0;QOGDEX-subgraph-0
ligand6-0;NOXNUJ-subgraph-1
ligand7-0;LICBOP-subgraph-2
ligand8-0;YIRFIS-subgraph-1
ligand9-0;PEMDES-subgraph-0
ligand10-0;YILMEM-subgraph-0
ligand11-0;BITPON-subgraph-3
ligand12-0;AWEVIH-subgraph-2
ligand13-0;QUHTET-subgraph-1
ligand14-0;ODOXAI-subgraph-1
ligand15-0;RABYAX-subgraph-0
ligand16-0;WUQQOP-subgraph-0
ligand17-0;XILJOU-subgraph-2
ligand18-0;SETNEN-subgraph-2
ligand19-0;KITREM-subgraph-3
ligand20-0;ATOPEE-subgraph-1
ligand21-0;GAXSON-subgraph-1
ligand22-0;VUMKEV-subgraph-3
ligand23-0;ZOLPUN-subgraph-0
ligand24-0;ORAJIC-subgraph-2
ligand25-0;CUZHIO-subgraph-0
ligand26-0;NECRIY-subgraph-0
ligand27-0;AJILEL-subgraph-0
ligand28-0;FUVPAN-subgraph-0
ligand29-0;MIXJAF-subgraph-2
ligand30-0;WURKOJ-subgraph-2
ligand31-0;MAWDAS-subgraph-2
ligand32-0;LEZFII-subgraph-1
ligand33-0;EZATUW-subgraph-1
ligand34-0;TUKPIA-subgraph-1
ligand35-0;YUGCAH-subgraph-1
ligand36-0;VUMKEV-subgraph-2
ligand37-0;RIPWOF-subgraph-2
ligand38-0;ISICES-subgraph-0
ligand39-0;UGILIF-subgraph-0
ligand40-0;RONLAJ-subgraph-1
ligand41-0;BUFQOJ-subgraph-0
ligand42-0;YORNEY-subgraph-3
ligand43-0;ROGTIU-subgraph-1
ligand44-0;VIXZOS-subgraph-4
ligand45-0;LEZFIG-subgraph-1
ligand46-0;CAKPOV-subgraph-0
ligand47-0;WAPNUA-subgraph-1
ligand48-0;FOXSER-subgraph-3
ligand49-0;VUJWII-subgraph-2
ligand50-0;UNONUH-subgraph-1
ligand51-0;GUNVIU-subgraph-3
ligand52-0;CEZZAL-subgraph-0
ligand53-0;NAKXIG-subgraph-1
ligand54-0;QAZXUM-subgraph-1
ligand55-0;UCEDIR-subgraph-2
ligand56-0;NITKAD-subgraph-2
ligand57-0;EJASIR-subgraph-2
ligand58-0;TEKWUD-subgraph-0
ligand59-0;TAJYAG-subgraph-4
ligand60-0;GUCBIR-subgraph-1
ligand61-0;ZEGJUQ-subgraph-1
ligand62-0;DUMZOC-subgraph-3
ligand63-0;JILQUU-subgraph-0
ligand64-0;PINGUS-subgraph-3
ligand65-0;JUGGAW-subgraph-2
ligand66-0;DICFAW-subgraph-1
ligand66-1;DIWDET-subgraph-1
ligand67-0;OFAPUJ-subgraph-3
ligand68-0;BIYPOO-subgraph-4
ligand69-0;HICGUZ-subgraph-2
ligand70-0;EBAHEW-subgraph-2
ligand71-0;VORCIR-subgraph-0
ligand72-0;BAGPAB-subgraph-0
ligand73-0;RUNDUZ-subgraph-3
ligand74-0;WATXEW-subgraph-1
ligand75-0;VAFYAC-subgraph-1
ligand76-0;LASXUB-subgraph-1
ligand77-0;URUWAG-subgraph-1
ligand78-0;DOMRAZ-subgraph-1
ligand79-0;RAHSIE-subgraph-0
ligand80-0;REYZUQ-subgraph-3
ligand81-0;WEXPEV-subgraph-2
ligand82-0;REZCOS-subgraph-0
ligand83-0;MIXVEU-subgraph-1
ligand84-0;JOTRUI-subgraph-0
ligand85-0;CAWNIY-subgraph-2
ligand86-0;AMEXIZ-subgraph-0
ligand86-1;AXOFUO-subgraph-1
ligand87-0;DUZCOS-subgraph-2
ligand88-0;DEFGIF-subgraph-0
ligand89-0;PUMDAD-subgraph-1
ligand90-0;OJURIW-subgraph-0
ligand91-0;GOQBEV-subgraph-3
ligand92-0;IKOCIU-subgraph-1
ligand93-0;PIKCET-subgraph-2
ligand94-0;RACLUG-subgraph-0
