occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
NEWYIZ-subgraph-0;-460.11731424;0.0;0.639;-0.01;0.0;1.0;0.0;0.0;0.629;0.0;1.0;0.0;0.0;6.17;318.744;;;
IHUTIR-subgraph-0;-460.11731424;0.0;0.639;-0.01;0.0;1.0;0.0;0.0;0.629;0.0;1.0;0.0;0.0;6.17;411.711;;;
MAZJIJ-subgraph-0;-460.11731424;0.0;0.639;-0.01;0.0;1.0;0.0;0.0;0.629;0.0;1.0;0.0;0.0;6.17;212.496;;;
GAFWUF-subgraph-0;-460.11731424;0.0;0.639;-0.01;0.0;1.0;0.0;0.0;0.629;0.0;1.0;0.0;0.0;6.17;332.025;;;
JUZFAL-subgraph-2;-652.458730784;1.2194;0.21200000000000002;-0.231;0.14508101239013024;0.8549189876098697;0.0;0.0;-0.019;0.002260351381896638;0.9053734716942361;0.09236617692386727;0.0;110.76;1423.428;3134.7447;0.2692085724269109;0.8307474076763546
ABESAB-subgraph-0;-652.458732104;1.2195;0.21200000000000002;-0.231;0.14508101239013024;0.8549189876098697;0.0;0.0;-0.019;0.002157608137264973;0.9053734716942361;0.09246892016849893;0.0;110.76;1317.238;3134.7417;0.269223222852351;0.8307694626423666
FINYAD-subgraph-1;-652.458730568;1.2194;0.21200000000000002;-0.231;0.14508101239013024;0.8549189876098697;0.0;0.0;-0.019;0.002260119169919866;0.9052804602424492;0.092459420587631;0.0;110.76;1253.48;3134.7384;0.2692120754548328;0.8307578700715913
NEWYEV-subgraph-3;-346.823754419;5.3237;0.13599999999999998;0.005;0.0;0.9578654579169671;0.04213454208303286;0.0;0.142;0.0;0.9375449409347715;0.06245505906522856;0.0;135.44;1223.047;3109.7795;0.13195107853824026;0.8680489778690305
RERBIB-subgraph-0;-228.361629597;3.4024;0.252;-0.038;0.0;0.985185941969759;0.014814058030241111;0.0;0.214;0.8935152193830805;0.11686857375547183;-0.010383793138552377;0.0;30.92;601.274;3019.7174;0.4811607049388504;0.5528848169320241
YEBFUJ-subgraph-2;-228.361640957;3.4023;0.252;-0.038;0.010215434408819663;0.9751188429250531;0.01466572266612724;0.0;0.214;0.8935260586319218;0.11685667752442998;-0.010382736156351794;0.0;30.91;611.639;3020.1215;0.48117801758340334;0.5528727560748415
QOYTAA-subgraph-0;-228.361616845;3.4057;0.252;-0.038;0.0;0.9851935055651997;0.01480649443480037;0.0;0.214;0.8849182313749242;0.12547950736927116;-0.010397738744195438;0.0;30.88;622.967;3020.9826;0.4816462718717389;0.5525107418736186
QOGDEX-subgraph-0;-1411.90826352;7.8683;0.11699999999999999;-0.058;0.3451492537313433;0.5959784411276949;0.05887230514096187;0.0;0.059;0.0;0.9848586810228802;0.015141318977119787;0.0;194.78;1540.964;3133.1323;;
SASKIG-subgraph-0;-460.87753073;1.2152;0.27699999999999997;-0.236;0.24380893171692053;0.7561910682830795;0.0;0.0;0.041;1.0;0.0;0.0;0.0;58.41;917.188;3076.9975;0.6446892425158312;0.6447323954373194
GOGLEV-subgraph-2;-460.877533436;1.2154;0.27699999999999997;-0.236;0.24375841707241272;0.7562415829275874;0.0;0.0;0.041;1.0;0.0;0.0;0.0;58.41;636.442;3077.176;0.644747302084108;0.6448554198313695
NOXNUJ-subgraph-1;-460.877537674;1.2151;0.27699999999999997;-0.236;0.24375841707241272;0.7562415829275874;0.0;0.0;0.041;1.0;0.0;0.0;0.0;58.41;935.083;3077.1608;0.6447080441114716;0.6449998299892582
LICBOP-subgraph-2;-660.852097542;9.3993;0.158;-0.088;0.0;0.972987012987013;0.02701298701298701;0.0;0.07;0.0;0.9881967213114754;0.011803278688524588;0.0;125.11;1564.104;3195.9809;0.10085013262543063;0.9186033455035
UHIMUU-subgraph-1;-76.3770503975;2.1217;0.35400000000000004;-0.326;0.0;1.0;0.0;0.0;0.028;0.9683778645051536;0.0316221354948464;0.0;0.0;5.48;203.456;3792.8502;0.36750735525981437;0.6324941754914477
CEMNEP-subgraph-1;-76.3770254453;2.123;0.35400000000000004;-0.326;0.0;1.0;0.0;0.0;0.028;0.9682809685811488;0.03171903141885131;0.0;0.0;5.48;228.268;3788.4107;0.3681336837692875;0.6318663162307125
YIRFIS-subgraph-1;-76.3770530209;2.1213;0.35400000000000004;-0.326;0.0;1.0;0.0;0.0;0.028;0.9683810286171703;0.03161897138282971;0.0;0.0;5.48;218.343;3792.7855;0.3672619402950806;0.6327380597049194
PEMFIY-subgraph-0;-1884.01032349;1.7097;0.177;-0.211;0.13613579403053083;0.8638642059694691;0.0;0.0;-0.034;0.01659612385832034;0.8741367787926041;0.10926709734907551;0.0;343.8;4301.402;3138.0119;;
PEMDES-subgraph-0;-1884.00937302;1.6459;0.178;-0.211;0.1303006057835181;0.8696993942164819;0.0;0.0;-0.033;0.020178630499503802;0.8600727753886868;0.11974859411180944;0.0;343.86;4306.639;3136.1932;;
LABMOU-subgraph-0;-1686.89464333;1.8339;0.184;-0.213;0.12919310970081596;0.870806890299184;0.0;0.0;-0.029;-0.0288565588553565;0.976193338944331;0.052663219911025606;0.0;345.7;3657.614;3134.8426;;
TEXLAJ-subgraph-0;-1686.89464422;1.8338;0.184;-0.213;0.1292077524651479;0.8707922475348521;0.0;0.0;-0.029;-0.028849621348719802;0.9760788556316866;0.0527707657170333;0.0;345.71;3321.799;3134.8448;;
SACGIP-subgraph-0;-1686.89464432;1.8338;0.184;-0.213;0.12919310970081596;0.870806890299184;0.0;0.0;-0.029;-0.028732868477999524;0.9759557585958164;0.05277710988218322;0.0;345.7;3247.033;3134.8418;;
YILMEM-subgraph-0;-1686.89464349;1.8339;0.184;-0.213;0.12919310970081596;0.870806890299184;0.0;0.0;-0.029;-0.028725961538461537;0.9759615384615384;0.05276442307692306;0.0;345.7;3433.704;3134.8406;;
EFUFIU-subgraph-2;-113.230555381;0.0621;0.365;-0.395;0.5595917141999399;0.44040828580006;0.0;0.0;-0.03;0.0;1.0;0.0;0.0;10.14;289.294;2159.524;0.0;1.0
EPOWEM-subgraph-1;-113.230555131;0.0621;0.365;-0.395;0.5595917141999399;0.44040828580006;0.0;0.0;-0.03;0.0;1.0;0.0;0.0;10.14;289.294;2159.5;0.0;1.0
BITPON-subgraph-3;-113.230555318;0.0621;0.365;-0.395;0.5595917141999399;0.44040828580006;0.0;0.0;-0.03;0.0;1.0;0.0;0.0;10.14;227.929;2159.518;0.0;1.0
PAJQAS-subgraph-0;-297.809326361;0.0;0.40800000000000003;-0.031;0.0;1.0;0.0;0.0;0.377;0.0;1.0;0.0;0.0;18.99;546.645;;;
QOLPEM-subgraph-0;-297.809326361;0.0;0.40800000000000003;-0.031;0.0;1.0;0.0;0.0;0.377;0.0;1.0;0.0;0.0;18.99;494.584;;;
HIRTUX-subgraph-1;-297.809326361;0.0;0.40800000000000003;-0.031;0.0;1.0;0.0;0.0;0.377;0.0;1.0;0.0;0.0;18.99;364.43;;;
AWEVIH-subgraph-2;-297.809326361;0.0;0.40800000000000003;-0.031;0.0;1.0;0.0;0.0;0.377;0.0;1.0;0.0;0.0;18.99;468.553;;;
WOCYET-subgraph-1;-345.838966658;8.8753;0.15;0.014;0.17186034392912974;0.7989577905158938;0.02918186555497655;0.0;0.164;1.1409416271801593;-0.1409416271801593;0.0;0.0;88.54;1257.181;3034.0108;0.23564389880181494;0.7720858352397961
