name;L*-energy;L*-dipole_moment;L*-homo_lumo_gap;L*-metal_bound_homo_energy;L*-metal_bound_homo_s;L*-metal_bound_homo_p;L*-metal_bound_homo_d;L*-metal_bound_homo_f;L*-metal_bound_lumo_energy;L*-metal_bound_lumo_s;L*-metal_bound_lumo_p;L*-metal_bound_lumo_d;L*-metal_bound_lumo_f;L_free-energy;L_free-dipole_moment;L_free-homo_lumo_gap;L_free-metal_bound_homo_energy;L_free-metal_bound_homo_s;L_free-metal_bound_homo_p;L_free-metal_bound_homo_d;L_free-metal_bound_homo_f;L_free-metal_bound_lumo_energy;L_free-metal_bound_lumo_s;L_free-metal_bound_lumo_p;L_free-metal_bound_lumo_d;L_free-metal_bound_lumo_f;L_free-polarisability;L_free-molar_volume;L_free-largest_frequency;L_free-I1/I3;L_free-I2/I3
ligand0-0;-460.11731424;0.0;0.639;-0.01;0.0;1.0;0.0;0.0;0.629;0.0;1.0;0.0;0.0;-460.11731424;0.0;0.639;-0.01;0.0;1.0;0.0;0.0;0.629;0.0;1.0;0.0;0.0;6.17;318.744;;;
ligand1-0;-652.459121789;1.2158;0.211;-0.23;0.1480500211954218;0.8519499788045782;0.0;0.0;-0.019;0.0007202387076859;0.906471859244778;0.0928079020475357;0.0;-652.458732104;1.2195;0.212;-0.231;0.1450810123901302;0.8549189876098697;0.0;0.0;-0.019;0.0021576081372649;0.905373471694236;0.0924689201684989;0.0;110.76;1317.238;3134.7417;0.269223222852351;0.8307694626423666
ligand2-0;-346.814439977;8.1545;0.126;0.002;0.0140962723190978;0.9500887543071944;0.0358149733737078;0.0;0.13;0.0;0.9311681508643268;0.0688318491356731;0.0;-346.823754419;5.3237;0.1359999999999999;0.005;0.0;0.9578654579169672;0.0421345420830328;0.0;0.142;0.0;0.9375449409347716;0.0624550590652285;0.0;135.44;1223.047;3109.7795;0.1319510785382402;0.8680489778690305
ligand4-0;-228.36113164;3.7643;0.242;-0.029;0.0;0.9868367346938776;0.0131632653061224;0.0;0.213;0.8575751462578172;0.141920516441396;0.0005043373007867;0.0;-228.361640957;3.4023;0.252;-0.038;0.0102154344088196;0.9751188429250532;0.0146657226661272;0.0;0.214;0.8935260586319218;0.1168566775244299;-0.0103827361563517;0.0;30.91;611.639;3020.1215;0.4811780175834033;0.5528727560748415
ligand5-0;-1411.89042261;7.0263;0.112;-0.044;0.3244147157190635;0.6239076491530908;0.0516776351278455;0.0;0.068;0.0;0.9580132020344118;0.0419867979655881;0.0;-1411.90826352;7.8683;0.1169999999999999;-0.058;0.3451492537313433;0.5959784411276949;0.0588723051409618;0.0;0.059;0.0;0.9848586810228802;0.0151413189771197;0.0;194.78;1540.964;3133.1323;;
ligand6-0;-460.878286162;1.247;0.272;-0.231;0.2424587954804602;0.7575412045195398;0.0;0.0;0.041;1.0;0.0;0.0;0.0;-460.87753073;1.2152;0.2769999999999999;-0.236;0.2438089317169205;0.7561910682830795;0.0;0.0;0.041;1.0;0.0;0.0;0.0;58.41;917.188;3076.9975;0.6446892425158312;0.6447323954373194
ligand7-0;-660.847305662;10.2036;0.135;-0.072;0.0117356392835083;0.9653078031706817;0.0229565575458101;0.0;0.063;0.0;0.9882919356603568;0.0117080643396432;0.0;-660.852097542;9.3993;0.158;-0.088;0.0;0.972987012987013;0.027012987012987;0.0;0.07;0.0;0.9881967213114754;0.0118032786885245;0.0;125.11;1564.104;3195.9809;0.1008501326254306;0.9186033455035
ligand8-0;-76.3770562021;2.0768;0.353;-0.325;0.0;1.0;0.0;0.0;0.028;0.966373098478783;0.0336269015212169;0.0;0.0;-76.3770503975;2.1217;0.354;-0.326;0.0;1.0;0.0;0.0;0.028;0.9683778645051536;0.0316221354948464;0.0;0.0;5.48;203.456;3792.8502;0.3675073552598143;0.6324941754914477
ligand9-0;-1883.9951325;1.1918;0.161;-0.19;0.144215530903328;0.8557844690966719;0.0;0.0;-0.029;0.0;0.8960664819944598;0.1039335180055402;0.0;-1884.01032349;1.7097;0.177;-0.211;0.1361357940305308;0.8638642059694691;0.0;0.0;-0.034;0.0165961238583203;0.8741367787926041;0.1092670973490755;0.0;343.8;4301.402;3138.0119;;
ligand10-0;-1686.88717925;1.8965;0.163;-0.196;0.1344273350567607;0.8655726649432393;0.0;0.0;-0.033;0.0;0.9310382633483172;0.0689617366516829;0.0;-1686.89464333;1.8339;0.184;-0.213;0.1291931097008159;0.870806890299184;0.0;0.0;-0.029;-0.0288565588553565;0.976193338944331;0.0526632199110256;0.0;345.7;3657.614;3134.8426;;
ligand11-0;-113.230653536;0.0667;0.366;-0.395;0.5603482786228983;0.4396517213771017;0.0;0.0;-0.029;0.0;1.0;0.0;0.0;-113.230555131;0.0621;0.365;-0.395;0.5595917141999399;0.44040828580006;0.0;0.0;-0.03;0.0;1.0;0.0;0.0;10.14;289.294;2159.5;0.0;1.0
ligand12-0;-297.809326361;0.0;0.408;-0.031;0.0;1.0;0.0;0.0;0.377;0.0;1.0;0.0;0.0;-297.809326361;0.0;0.408;-0.031;0.0;1.0;0.0;0.0;0.377;0.0;1.0;0.0;0.0;18.99;546.645;;;
ligand13-0;-345.838902588;8.9411;0.138;0.026;0.1527053288329753;0.8184514677303877;0.028843203436637;0.0;0.164;1.1246631400339355;-0.1246631400339355;0.0;0.0;-345.838966658;8.8753;0.15;0.014;0.1718603439291297;0.7989577905158938;0.0291818655549765;0.0;0.164;1.1409416271801591;-0.1409416271801593;0.0;0.0;88.54;1257.181;3034.0108;0.2356438988018149;0.7720858352397961
ligand14-0;-347.455267207;0.6712;0.256;-0.218;0.2788961773354445;0.6982583125989595;0.022845510065596;0.0;0.038;0.97736337177967;0.0226366282203298;0.0;0.0;-347.458491279;0.4624;0.257;-0.221;0.2726656115758535;0.6821162107167081;0.0452181777074383;0.0;0.036;0.9666106677866442;0.0333893322133557;0.0;0.0;89.09;1541.261;3068.975;0.2913359297011883;0.9434987973022604
ligand15-0;-688.43792373;11.5204;0.069;0.179;0.2503432977712052;0.705820217597972;0.0438364846308228;0.0;0.248;0.9044902271526676;0.0955097728473322;0.0;0.0;-688.465183544;9.6693;0.12;0.132;0.3216221851542952;0.6360508757297749;0.0423269391159299;0.0;0.252;0.5029720090781368;0.4842753701502215;0.0127526207716416;0.0;170.14;1807.856;3015.3712;0.353908154746438;0.7819134533382525
ligand16-0;-701.886005197;3.0478;0.261;-0.108;0.0;1.0;0.0;0.0;0.153;0.0;0.982532751091703;0.0174672489082969;0.0;-701.899289016;2.0053;0.254;-0.109;0.0;0.98943029278089;0.01056970721911;0.0;0.145;0.0;0.9740696539004012;0.0259303460995985;0.0;144.06;1717.429;3210.9462;0.5964387277309976;0.6318225346017996
ligand17-0;-78.5091476102;0.2165;0.2759999999999999;-0.283;0.0;1.0;0.0;0.0;-0.007;0.0;0.9596998046674206;0.0403001953325794;0.0;-78.5129309291;0.0;0.289;-0.288;0.0;1.0;0.0;0.0;0.001;0.0;0.9566993464052288;0.0433006535947712;0.0;21.84;344.326;3174.7602;0.1718698626771108;0.8281300015719955
ligand18-0;-3388.84981485;2.167;0.0199999999999999;-0.252;0.0;1.0;0.0;0.0;-0.0;0.199851016281792;0.7767372565712461;0.0234117271469617;0.0;-3388.86052931;1.6698;0.032;-0.258;0.0;0.9772867420349436;0.0227132579650565;0.0;0.003;0.4011956160743939;0.5668105834163621;0.0319938005092438;0.0;199.06;2688.897;3208.8998;;
ligand19-0;-626.402781085;1.165;0.149;-0.206;0.0;0.9882527251561012;0.0117472748438988;0.0;-0.057;0.0;0.9739993526809796;0.0260006473190203;0.0;-626.406482982;0.6696;0.152;-0.21;0.0;0.9881864623243932;0.0118135376756066;0.0;-0.058;0.0;0.9722701769529564;0.0277298230470435;0.0;163.45;1633.029;3241.8467;0.1177302659623008;0.8822697525075919
ligand20-0;-2573.93262687;0.0;0.514;-0.022;0.0;1.0;0.0;0.0;0.492;0.0;1.0;0.0;0.0;-2573.93262687;0.0;0.514;-0.022;0.0;1.0;0.0;0.0;0.492;0.0;1.0;0.0;0.0;12.37;458.991;;;
ligand21-0;-234.998041193;4.6247;0.138;0.045;0.0919348098620977;0.8710823234433765;0.0369828666945257;0.0;0.183;0.881437881017448;0.118562118982552;0.0;0.0;-235.007612005;2.4298;0.138;0.049;0.0853235139400315;0.8485007890583904;0.0661756970015781;0.0;0.187;0.8875249186863918;0.1124750813136082;0.0;0.0;87.51;1005.063;3126.8119;0.4275386260703001;0.6149001681651314
ligand22-0;-193.359807297;0.0047;0.229;0.005;0.0;0.985231849633378;0.0147681503666219;0.0;0.234;1.3775362318840578;-0.4468944099378881;0.0693581780538302;0.0;-193.359105261;0.0;0.229;0.004;0.0;0.9737835356523514;0.0262164643476486;0.0;0.233;1.3644357091134791;-0.4327092169235546;0.0682735078100755;0.0;54.67;730.882;3102.147;0.4999900302111416;0.5000099941648704
ligand23-0;-3332.26725121;5.723;0.133;-0.192;0.4280359820089955;0.5491539944313557;0.0228100235596487;0.0;-0.059;0.0;1.0;0.0;0.0;-3332.28984511;6.557;0.159;-0.223;0.438744656448754;0.5363361484725264;0.0249191950787196;0.0;-0.064;0.0179515418502202;0.9820484581497796;0.0;0.0;219.98;1750.091;3162.5349;;
ligand24-0;-389.174167322;0.0582;0.2289999999999999;-0.241;0.028961568109239;0.9710384318907608;0.0;0.0;-0.012;0.0;0.9472546476437528;0.0527453523562473;0.0;-389.181506126;0.0515;0.236;-0.243;0.0438844232022593;0.9561155767977406;0.0;0.0;-0.007;0.0;0.9319713338324954;0.0680286661675045;0.0;111.54;1225.626;3112.4431;0.210401936550717;0.9420628699592294
ligand25-0;-1176.87336354;16.3481;0.0939999999999999;0.318;0.0;1.0;0.0;0.0;0.476;1.4502374670184697;-0.4831662269129289;0.0329287598944591;0.0;-1177.13531049;1.5542;0.233;0.207;0.2858187134502924;0.7141812865497076;0.0;0.0;0.44;1.1589922726791573;-0.1589922726791573;0.0;0.0;183.33;2607.845;3074.1919;;
ligand26-0;-974.140246062;2.9053;0.189;-0.216;0.162497256967303;0.7676102699144174;0.0698924731182795;0.0;-0.027;0.0141302072430395;0.9210801758425792;0.0647896169143814;0.0;-974.157542751;1.6911;0.016;-0.255;0.0224544241885282;0.9775455758114716;0.0;0.0;-0.036;0.0;0.9353053841242818;0.0646946158757182;0.0;229.2;2381.3;3147.3979;;
ligand27-0;-1336.17877379;5.9092;0.157;-0.044;0.0001031885254359;0.989268393354659;0.010628418119905;0.0;0.113;0.0;0.9314839920742518;0.0685160079257482;0.0;-1336.18278856;5.2964;0.1669999999999999;-0.062;0.0196681007990165;0.9699856586765008;0.0103462405244826;0.0;0.105;0.0;0.941329992692348;0.0586700073076521;0.0;156.92;2023.031;3131.6718;0.203682668300841;0.799354732193919
ligand28-0;-1035.62595364;1.4956;0.192;-0.223;0.0774070329176497;0.9225929670823504;0.0;0.0;-0.031;0.0;0.9488184438040346;0.0511815561959654;0.0;-1035.62597635;1.4532;0.198;-0.228;0.0693252200369444;0.9306747799630556;0.0;0.0;-0.03;0.0;0.9524716959982064;0.0475283040017935;0.0;219.97;2286.245;3134.5474;0.5921252304892181;0.5924396433111536
ligand29-0;-494.980303781;3.0177;0.198;-0.255;0.0;1.0;0.0;0.0;-0.057;0.0;0.9564387917329094;0.0435612082670906;0.0;-494.980831435;3.0641;0.201;-0.256;0.0;1.0;0.0;0.0;-0.055;0.0;0.9564389934447028;0.0435610065552971;0.0;123.08;1381.42;3138.3386;0.1674422748540653;0.8552008098278228
ligand30-0;-240.314822747;1.1829;0.285;-0.067;0.0;0.945945945945946;0.054054054054054;0.0;0.218;1.1664994984954866;-0.0396188565697091;-0.1268806419257773;0.0;-240.314100213;0.9175;0.282;-0.068;0.0;0.9458863613588536;0.0541136386411464;0.0;0.214;1.3366137778670415;-0.1966258284796143;-0.1399879493874271;0.0;37.41;515.652;2242.4227;0.046561159490847;0.9534388258026256
ligand31-0;-389.733662719;5.5514;0.099;0.061;0.0106723585912486;0.9568836712913554;0.0324439701173959;0.0;0.16;1.1714349826096713;-0.2036351396836081;0.0322001570739369;0.0;-389.734232765;5.4788;0.107;0.053;0.0379596678529062;0.9266688234659765;0.0353715086811172;0.0;0.198;1.304402914159012;-0.3171787562031466;0.0127758420441347;0.0;121.38;1469.03;2993.1053;0.990620690740324;0.995188396793078
ligand32-0;-514.457571359;4.6357;0.146;-0.024;0.0;0.9664167282712008;0.0335832717287992;0.0;0.122;0.0;0.9628385471341592;0.0371614528658408;0.0;-514.470639117;4.6215;0.148;-0.03;0.0222617056856187;0.9442934782608696;0.0334448160535117;0.0;0.118;0.0;0.962896970967404;0.0371030290325961;0.0;122.25;1358.011;3723.1318;0.2458067879247852;0.7574200461758581
ligand33-0;-566.8839738;1.8188;0.2;-0.28;0.1685545048321729;0.8043229762028473;0.0271225189649797;0.0;-0.049;0.0499948564962452;0.8660631622261085;0.0839419812776463;0.0;-566.88550181;1.766;0.2039999999999999;-0.284;0.1780492898913951;0.7945906432748538;0.027360066833751;0.0;-0.048;0.0492595639654463;0.866207322089675;0.0845331139448786;0.0;88.98;994.402;3143.6381;0.125074294753523;0.8969613679190438
ligand34-0;-1158.33012071;4.602;0.192;-0.192;0.3518992982065278;0.6481007017934722;0.0;0.0;0.0;-0.0118720457293613;0.9326151478509398;0.0792568978784214;0.0;-1158.33381796;4.5067;0.205;-0.204;0.3464348981399468;0.6423826395039859;0.0111824623560673;0.0;0.001;0.0040257648953301;0.951805843110191;0.0441683919944789;0.0;289.07;3484.847;3275.8896;;
ligand35-0;-1256.99567066;4.0015;0.11;0.021;0.2975853817707199;0.6551011529258213;0.0473134653034587;0.0;0.131;0.9718263538697656;0.0281736461302345;0.0;0.0;-1257.02442669;3.2162;0.148;-0.016;0.2370666378658603;0.7149800194405443;0.0479533426935954;0.0;0.132;0.9441222395717154;0.0558777604282846;0.0;0.0;313.3;3252.99;3094.0959;;
ligand36-0;-39.7836595297;1.9488;0.197;0.081;0.1732106339468302;0.8267893660531698;0.0;0.0;0.278;1.057474717132272;-0.0574747171322719;0.0;0.0;-39.7810864261;2.004;0.202;0.064;0.2723967276032724;0.7276032723967276;0.0;0.0;0.266;1.0959863877489742;-0.095986387748974;0.0;0.0;20.47;331.493;2660.4578;0.7539286331823987;0.7540081536186883
ligand37-0;-461.687208329;2.148;0.253;-0.218;0.4241416309012876;0.5758583690987125;0.0;0.0;0.042;1.0721255833686891;-0.0721255833686889;0.0;0.0;-461.687652992;2.1798;0.256;-0.222;0.4336368505623996;0.5663631494376005;0.0;0.0;0.043;1.0975975975975976;-0.0975975975975975;0.0;0.0;115.2;1464.571;3203.7015;0.1994064680659569;0.9643313113118882
ligand38-0;-365.248974481;10.9946;0.122;0.031;0.1634104799118324;0.8075343151988779;0.0290552048892896;0.0;0.153;1.0933614330874606;-0.0933614330874604;0.0;0.0;-365.250813904;10.7487;0.136;0.016;0.1862054892357922;0.7844097541067238;0.0293847566574839;0.0;0.152;1.0697033898305084;-0.0697033898305084;0.0;0.0;110.47;1487.977;3033.5912;0.2590902523016891;0.7580555274347743
ligand39-0;-404.530036661;5.0931;0.14;0.02;0.2269118261596323;0.7412244045131634;0.0318637693272043;0.0;0.16;0.7566475218038715;0.2293129121463518;0.0140395660497766;0.0;-404.53670545;4.4401;0.159;0.002;0.2379424549782653;0.7313185675843511;0.0307389774373835;0.0;0.161;0.4926727909011373;0.4946412948381452;0.0126859142607174;0.0;123.54;1331.009;3070.8997;0.2039229248034123;0.8562367960038897
ligand40-0;-326.655867822;1.3399;0.23;-0.258;0.0681343906510851;0.9188230383973288;0.0130425709515859;0.0;-0.028;0.0514636941348057;0.8790499010313575;0.0694864048338368;0.0;-326.656776611;1.3943;0.008;-0.265;0.1343064160453639;0.832930799117925;0.0327627848367111;0.0;-0.028;0.0493904345107846;0.8814212774825466;0.0691882880066687;0.0;82.19;952.47;3132.1363;0.3591963204477088;0.6564270409094246
ligand41-0;-467.657614859;0.1764;0.239;-0.235;0.0544368223058198;0.94556317769418;0.0;0.0;0.004;0.0894826606026151;0.8907333712336555;0.0197839681637293;0.0;-467.669367051;0.0467;0.252;-0.242;0.0536713862364175;0.9463286137635823;0.0;0.0;0.01;0.0934672257779739;0.8547781946590157;0.0517545795630103;0.0;132.37;1749.635;3083.5132;0.5180765241548675;0.6192651193868084
ligand42-0;-115.637817094;1.6736;0.3269999999999999;-0.289;0.1695788304211695;0.8113321886678113;0.019088980911019;0.0;0.038;0.7994892747701736;0.2005107252298263;0.0;0.0;-115.63766512;1.6711;0.3279999999999999;-0.29;0.1853309120258272;0.7947941888619855;0.0198748991121872;0.0;0.038;0.7998367680065293;0.2001632319934707;0.0;0.0;16.75;359.288;3717.4186;0.1910540978773194;0.9639715697335436
ligand43-0;-952.553776502;3.3931;0.101;-0.016;0.4124311402141148;0.5490073796902609;0.0385614800956241;0.0;0.085;0.0;0.9626019705477276;0.0373980294522724;0.0;-952.564261061;3.8456;0.119;-0.039;0.3884375;0.57125;0.0403124999999999;0.0;0.08;0.0;0.9616931216931216;0.0383068783068783;0.0;202.61;1833.121;3119.3072;0.1317394864058968;0.8682605163208882
ligand44-0;-1027.82661541;7.239;0.124;-0.051;0.0;0.9669421487603306;0.0330578512396694;0.0;0.073;0.0;0.9866549989061476;0.0133450010938525;0.0;-1027.83067859;6.3473;0.126;-0.053;0.0;0.9683744465528148;0.0316255534471853;0.0;0.073;0.0;0.9862330623306232;0.0137669376693766;0.0;212.42;1901.264;3131.6849;0.168690098256307;0.8313099157438025
ligand45-0;-802.029468227;2.3668;0.1639999999999999;-0.24;0.0;1.0;0.0;0.0;-0.076;0.0;0.9774122807017545;0.0225877192982456;0.0;-802.029541401;2.434;0.1639999999999999;-0.24;0.0;1.0;0.0;0.0;-0.076;0.0;0.977680525164114;0.0223194748358862;0.0;241.8;2056.273;3144.3717;;
