name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand0-0;4.597990000000003;1;3;0;4
ligand1-0;0.6895;0;0;0;0
ligand2-0;2.563370000000001;1;0;1;0
ligand3-0;0.8456;0;0;0;0
ligand4-0;-0.3971;0;0;0;0
ligand5-0;1.0621;0;1;0;6
ligand6-0;1.45349;0;0;0;2
ligand7-0;3.624600000000001;0;2;0;1
ligand8-0;1.3473;0;0;0;0
ligand9-0;1.57;1;0;0;4
ligand10-0;1.7844499999999999;0;0;0;6
ligand11-0;0.36869;0;0;0;4
ligand12-0;0.9391900000000002;0;1;0;4
ligand13-0;3.1184200000000013;0;1;0;4
ligand14-0;1.0699899999999998;1;0;0;2
ligand15-0;6.791700000000007;0;0;0;6
ligand16-0;-0.4806;0;0;0;0
ligand17-0;1.7885199999999992;0;3;0;9
ligand18-0;0.45028999999999997;0;0;0;0
ligand19-0;1.1887800000000002;0;0;0;2
ligand20-0;-0.06751000000000007;2;0;0;0
ligand21-0;-1.0962;0;0;0;3
ligand22-0;6.553390000000006;1;4;0;8
ligand23-0;0.37699999999999984;1;0;0;1
ligand24-0;-0.5319999999999999;0;0;0;1
ligand25-0;3.279800000000003;0;2;0;4
ligand26-0;-0.1188;0;0;0;0
ligand27-0;3.679000000000001;0;3;0;6
ligand28-0;3.122700000000001;0;2;0;3
ligand29-0;5.179560000000003;2;0;0;8
ligand30-0;3.354400000000002;0;0;0;14
ligand31-0;1.3430000000000002;0;3;0;2
ligand32-0;-0.3914000000000001;0;0;0;0
ligand33-0;2.87958;0;2;0;19
ligand34-0;4.7150000000000025;0;2;0;4
ligand35-0;2.808840000000001;0;2;0;3
ligand36-0;1.6879999999999995;1;2;0;0
ligand37-0;-0.8247;0;0;0;0
ligand38-0;4.847800000000003;0;1;0;14
ligand39-0;1.70208;0;1;0;0
ligand40-0;2.2849000000000004;0;2;0;5
ligand41-0;1.3577;0;0;0;3
ligand42-0;2.39419;1;1;0;1
ligand43-0;0.8857;0;0;0;0
ligand44-0;1.1335999999999997;0;3;0;2
ligand45-0;10.119289999999998;2;4;0;10
ligand46-0;2.4766;0;1;0;2
ligand47-0;0.6482;0;0;0;0
ligand48-0;2.163200000000001;0;1;0;1
ligand49-0;1.31669;1;0;0;0
ligand50-0;-1.4945100000000002;1;1;0;7
ligand51-0;2.74;0;3;0;4
ligand52-0;0.11357;1;0;1;0
ligand53-0;3.267190000000001;1;0;0;5
